index,Date,Company,Open,High,Low,Close,Adj Close,Volume,Year,Quarter
891,2021-07-15,Chevron,101.05000305175781,102.25,100.8499984741211,101.30000305175781,88.8763656616211,9665700,2021,2021Q3
892,2021-07-16,Chevron,101.62999725341797,101.69000244140625,98.33000183105469,98.62000274658203,86.52503967285156,12199100,2021,2021Q3
893,2021-07-19,Chevron,95.81999969482422,96.94999694824219,94.5199966430664,95.95999908447266,84.19126892089844,17385500,2021,2021Q3
894,2021-07-20,Chevron,95.88999938964844,98.04000091552734,95.05000305175781,96.52999877929688,84.69135284423828,12114600,2021,2021Q3
895,2021-07-21,Chevron,97.9800033569336,100.47000122070312,97.69999694824219,99.81999969482422,87.57786560058594,11478100,2021,2021Q3
896,2021-07-22,Chevron,99.4000015258789,99.41000366210938,97.88999938964844,98.81999969482422,86.70052337646484,7694300,2021,2021Q3
897,2021-07-23,Chevron,98.80000305175781,99.12000274658203,97.94000244140625,98.86000061035156,86.73560333251953,7570800,2021,2021Q3
898,2021-07-26,Chevron,99.45999908447266,101.26000213623047,99.44000244140625,100.94999694824219,88.56927490234375,10227500,2021,2021Q3
899,2021-07-27,Chevron,100.05000305175781,100.72000122070312,98.94000244140625,100.61000061035156,88.27099609375,8332100,2021,2021Q3
900,2021-07-28,Chevron,100.9000015258789,101.80999755859375,100.27999877929688,101.18000030517578,88.77107238769531,8546100,2021,2021Q3
901,2021-07-29,Chevron,102.37999725341797,102.87999725341797,101.94000244140625,102.56999969482422,89.99060821533203,8681300,2021,2021Q3
902,2021-07-30,Chevron,103.05999755859375,104.05000305175781,100.7699966430664,101.80999755859375,89.32380676269531,12295300,2021,2021Q3
903,2021-08-02,Chevron,102.08000183105469,103.9800033569336,101.55999755859375,101.62999725341797,89.16588592529297,8911800,2021,2021Q3
904,2021-08-03,Chevron,101.58999633789062,102.91000366210938,100.66999816894531,102.5999984741211,90.01692199707031,8437300,2021,2021Q3
905,2021-08-04,Chevron,100.44000244140625,101.9000015258789,100.0999984741211,100.30000305175781,87.99900817871094,10389800,2021,2021Q3
906,2021-08-05,Chevron,100.94000244140625,102.43000030517578,100.66999816894531,101.2300033569336,88.81494140625,7986100,2021,2021Q3
907,2021-08-06,Chevron,102.0199966430664,102.58000183105469,101.5999984741211,101.94999694824219,89.4466323852539,6475600,2021,2021Q3
908,2021-08-09,Chevron,100.91000366210938,101.37999725341797,99.93000030517578,100.25,87.95513153076172,9243100,2021,2021Q3
909,2021-08-10,Chevron,100.73999786376953,102.31999969482422,100.58000183105469,102.08000183105469,89.56070709228516,9762600,2021,2021Q3
910,2021-08-11,Chevron,102.04000091552734,102.97000122070312,101.5999984741211,102.8499984741211,90.23625946044922,7079800,2021,2021Q3
911,2021-08-12,Chevron,102.86000061035156,103.25,101.77999877929688,102.63999938964844,90.05201721191406,7377600,2021,2021Q3
912,2021-08-13,Chevron,102.2300033569336,102.54000091552734,101.63999938964844,101.95999908447266,89.45541381835938,6572600,2021,2021Q3
913,2021-08-16,Chevron,100.83000183105469,101.19999694824219,99.91000366210938,100.91999816894531,88.54296875,9476600,2021,2021Q3
914,2021-08-17,Chevron,100.19999694824219,101.68000030517578,99.62999725341797,100.7300033569336,88.37627410888672,10937500,2021,2021Q3
915,2021-08-18,Chevron,98.69000244140625,99.41999816894531,96.55000305175781,96.69999694824219,85.98435974121094,12893600,2021,2021Q3
916,2021-08-19,Chevron,94.80999755859375,95.30999755859375,92.86000061035156,94.29000091552734,83.84141540527344,17423400,2021,2021Q3
917,2021-08-20,Chevron,93.5199966430664,94.87999725341797,93.20999908447266,94.30000305175781,83.85029602050781,9707600,2021,2021Q3
918,2021-08-23,Chevron,96.08999633789062,97.0,96.05999755859375,96.7300033569336,86.01102447509766,10277800,2021,2021Q3
919,2021-08-24,Chevron,97.5,98.61000061035156,97.38999938964844,97.83999633789062,86.99803161621094,8924900,2021,2021Q3
920,2021-08-25,Chevron,97.22000122070312,98.72000122070312,96.72000122070312,98.51000213623047,87.59376525878906,9342300,2021,2021Q3
921,2021-08-26,Chevron,98.11000061035156,98.7300033569336,97.19999694824219,97.22000122070312,86.44672393798828,8124800,2021,2021Q3
922,2021-08-27,Chevron,98.13999938964844,99.45999908447266,98.05000305175781,98.63999938964844,87.7093734741211,10281200,2021,2021Q3
923,2021-08-30,Chevron,99.08999633789062,99.30999755859375,97.97000122070312,98.38999938964844,87.48706817626953,8127200,2021,2021Q3
924,2021-08-31,Chevron,98.13999938964844,98.41000366210938,96.63999938964844,96.7699966430664,86.0466079711914,15676900,2021,2021Q3
925,2021-09-01,Chevron,96.86000061035156,97.06999969482422,95.47000122070312,95.70999908447266,85.10406494140625,10557300,2021,2021Q3
926,2021-09-02,Chevron,96.63999938964844,98.38999938964844,96.55000305175781,97.70999908447266,86.8824234008789,12340100,2021,2021Q3
927,2021-09-03,Chevron,97.4000015258789,98.43000030517578,97.37999725341797,97.48999786376953,86.68679809570312,9097000,2021,2021Q3
928,2021-09-07,Chevron,97.0199966430664,97.9800033569336,96.73999786376953,97.05999755859375,86.30445861816406,9237800,2021,2021Q3
929,2021-09-08,Chevron,97.5,98.47000122070312,96.3499984741211,96.38999938964844,85.70870208740234,10775900,2021,2021Q3
930,2021-09-09,Chevron,95.88999938964844,97.62000274658203,95.3499984741211,96.0,85.3619155883789,10219400,2021,2021Q3
931,2021-09-10,Chevron,97.5999984741211,97.69999694824219,95.88999938964844,96.06999969482422,85.42415618896484,11006000,2021,2021Q3
932,2021-09-13,Chevron,97.20999908447266,98.70999908447266,97.05999755859375,97.97000122070312,87.11361694335938,11500900,2021,2021Q3
933,2021-09-14,Chevron,98.37999725341797,98.73999786376953,95.9800033569336,96.19999694824219,85.53976440429688,15294100,2021,2021Q3
934,2021-09-15,Chevron,96.98999786376953,98.52999877929688,96.98999786376953,98.23999786376953,87.35369873046875,11623400,2021,2021Q3
935,2021-09-16,Chevron,98.31999969482422,98.58999633789062,96.91000366210938,97.31999969482422,86.53564453125,10616700,2021,2021Q3
936,2021-09-17,Chevron,97.11000061035156,98.37999725341797,96.37000274658203,96.76000213623047,86.0377197265625,16006100,2021,2021Q3
937,2021-09-20,Chevron,94.63999938964844,95.25,93.30999755859375,94.77999877929688,84.27711486816406,15796100,2021,2021Q3
938,2021-09-21,Chevron,95.56999969482422,95.88999938964844,94.02999877929688,94.8499984741211,84.33935546875,10958400,2021,2021Q3
939,2021-09-22,Chevron,96.23999786376953,98.77999877929688,96.23999786376953,97.63999938964844,86.82017517089844,13292800,2021,2021Q3
940,2021-09-23,Chevron,98.23999786376953,100.2699966430664,97.75,100.05999755859375,88.97200775146484,10094900,2021,2021Q3
941,2021-09-24,Chevron,99.6500015258789,100.97000122070312,99.6500015258789,100.5999984741211,89.45218658447266,8225300,2021,2021Q3
942,2021-09-27,Chevron,102.58999633789062,103.77999877929688,102.58999633789062,102.97000122070312,91.5595474243164,12697500,2021,2021Q3
